State_Well_Number,Measurement_Date,RP_Elevation,GS_Elevation,RPWS,WSE,GSWS,QM_Code,NM_Code,Agency,Comment
15S18E30L001M,06-15-1921,195.4,194,8.7,186.7,7.3,,,5001,
15S18E30L001M,11-09-1921,195.4,194,9.5,185.9,8.1,,,5001,
15S18E30L001M,11-21-1921,195.4,194,9.2,186.2,7.8,,,5001,
15S18E30L001M,01-09-1922,195.4,194,8.7,186.7,7.3,,,5001,
15S18E30L001M,04-11-1922,195.4,194,7.4,188,6,,,5001,
15S18E30L001M,01-30-1923,195.4,194,9.5,185.9,8.1,,,5001,
15S18E30L001M,01-09-1924,195.4,194,11.6,183.8,10.2,,,5001,
15S18E30L001M,12-10-1924,195.4,194,11,184.4,9.6,,,5001,
15S18E30L001M,02-18-1925,195.4,194,10.9,184.5,9.5,,,5001,
15S18E30L001M,12-08-1925,195.4,194,14.6,180.8,13.2,,,5001,
15S18E30L001M,03-05-1926,195.4,194,15,180.4,13.6,,,5001,
15S18E30L001M,11-05-1926,195.4,194,14.3,181.1,12.9,,,5001,
15S18E30L001M,03-10-1927,195.4,194,14.7,180.7,13.3,,,5001,
15S18E30L001M,06-25-1927,195.4,194,14.5,180.9,13.1,,,5001,
15S18E30L001M,02-21-1928,195.4,194,14.7,180.7,13.3,,,5001,
15S18E30L001M,11-19-1929,195.4,194,19.2,176.2,17.8,,,5001,
15S18E30L001M,02-27-1932,195.4,194,20.5,174.9,19.1,,,5001,
15S18E30L001M,09-24-1936,195.4,194,20.9,174.5,19.5,,,5001,
15S18E30L001M,03-06-1939,195.4,194,,,,,1,5001,
15S18E30L001M,04-03-1939,195.4,194,,,,,1,5001,
15S18E30L001M,04-17-1939,195.4,194,,,,,1,5001,
15S18E30L001M,05-02-1939,195.4,194,,,,,1,5001,
15S18E30L001M,05-16-1939,195.4,194,,,,,1,5001,
15S18E30L001M,05-19-1939,195.4,194,20.1,175.3,18.7,,,5001,
15S18E30L001M,05-29-1939,195.4,194,,,,,1,5001,
15S18E30L001M,06-13-1939,195.4,194,,,,,1,5001,
15S18E30L001M,06-16-1939,195.4,194,28.4,167,27,,,5001,
15S18E30L001M,07-12-1939,195.4,194,,,,,1,5001,
15S18E30L001M,07-25-1939,195.4,194,,,,,1,5001,
15S18E30L001M,08-16-1939,195.4,194,,,,,1,5001,
15S18E30L001M,08-28-1939,195.4,194,,,,,1,5001,
15S18E30L001M,09-12-1939,195.4,194,,,,,1,5001,
15S18E30L001M,10-17-1939,195.4,194,,,,,1,5001,
15S18E30L001M,11-07-1939,195.4,194,,,,,1,5001,
15S18E30L001M,11-10-1939,195.4,194,22.5,172.9,21.1,,,5001,
15S18E30L001M,12-08-1939,195.4,194,19.2,176.2,17.8,,,5001,
15S18E30L001M,12-28-1939,195.4,194,17,178.4,15.6,,,5001,
15S18E30L001M,09-09-1940,195.4,194,,,,,1,5001,
15S18E30L001M,05-06-1941,195.4,194,16.3,179.1,14.9,,,5001,
15S18E30L001M,12-08-1941,195.4,194,17.7,177.7,16.3,,,5001,
15S18E30L001M,05-12-1942,195.4,194,16.5,178.9,15.1,,,5001,
15S18E30L001M,11-14-1942,195.4,194,17.3,178.1,15.9,,,5001,
15S18E30L001M,05-10-1943,195.4,194,14.1,181.3,12.7,,,5001,
15S18E30L001M,11-05-1943,195.4,194,,,,,1,5001,
15S18E30L001M,11-14-1944,195.4,194,17.7,177.7,16.3,,,5001,
15S18E30L001M,12-11-1945,195.4,194,17.5,177.9,16.1,,,5001,
15S18E30L001M,11-05-1947,195.4,194,25.2,170.2,23.8,,,5001,
15S18E30L001M,11-15-1948,195.4,194,24.1,171.3,22.7,,,5001,
15S18E30L001M,09-13-1949,195.4,194,27.7,167.7,26.3,,,5001,
15S18E30L001M,09-26-1950,195.4,194,30.6,164.8,29.2,,,5001,
15S18E30L001M,02-20-1951,195.4,194,27.5,167.9,26.1,,,5001,
15S18E30L001M,10-02-1951,195.4,194,32.4,163,31,,,5001,
15S18E30L001M,02-25-1952,195.4,194,30.5,164.9,29.1,,,5001,
15S18E30L001M,10-07-1952,195.4,194,32.8,162.6,31.4,,,5001,
15S18E30L001M,01-20-1953,195.4,194,31.7,163.7,30.3,,,5001,
15S18E30L001M,09-23-1953,195.4,194,39.7,155.7,38.3,,,5001,
15S18E30L001M,01-20-1954,195.4,194,37.2,158.2,35.8,,,5001,
15S18E30L001M,09-29-1954,195.4,194,,,,,4,5001,
15S18E30L001M,01-24-1955,195.4,194,41.8,153.6,40.4,,,5001,
15S18E30L001M,09-19-1955,195.4,194,49.6,145.8,48.2,,,5001,
15S18E30L001M,02-13-1956,195.4,194,45.8,149.6,44.4,,,5001,
15S18E30L001M,10-19-1956,195.4,194,48.4,147,47,,,5001,
15S18E30L001M,02-21-1957,195.4,194,47.9,147.5,46.5,,,5001,
15S18E30L001M,10-11-1957,195.4,194,59.2,136.2,57.8,,,5001,
15S18E30L001M,02-19-1958,195.4,194,50.9,144.5,49.5,,,5001,
15S18E30L001M,10-23-1958,195.4,194,51.5,143.9,50.1,,,5001,
15S18E30L001M,03-11-1959,195.4,194,66.9,128.5,65.5,,,5001,
15S18E30L001M,10-16-1959,195.4,194,58.9,136.5,57.5,,,5001,
15S18E30L001M,02-18-1960,195.4,194,59.5,135.9,58.1,,,5001,
15S18E30L001M,11-01-1960,195.4,194,66.6,128.8,65.2,,,5001,
15S18E30L001M,02-17-1961,195.4,194,66.9,128.5,65.5,,,5001,
15S18E30L001M,10-18-1961,195.4,194,76.4,119,75,,,5001,
15S18E30L001M,02-28-1962,195.4,194,71.3,124.1,69.9,,,5001,
15S18E30L001M,10-23-1962,195.4,194,85.7,109.7,84.3,,,5001,
15S18E30L001M,02-12-1963,195.4,194,81,114.4,79.6,,,5001,
15S18E30L001M,02-18-1963,195.4,194,80.9,114.5,79.5,,,5001,
15S18E30L001M,02-10-1964,195.4,194,107.7,87.7,106.3,,,5001,
15S18E30L001M,03-03-1964,195.4,194,94.9,100.5,93.5,,,5001,
15S18E30L001M,09-24-1964,195.4,194,103.8,91.6,102.4,,,5001,
15S18E30L001M,01-29-1965,195.4,194,94.4,101,93,,,5001,
15S18E30L001M,02-07-1966,195.4,194,99.7,95.7,98.3,,,5001,
15S18E30L001M,02-06-1967,195.4,194,113.4,82,112,,,5001,
15S18E30L001M,02-05-1968,195.4,194,124.1,71.3,122.7,,,5621,
15S18E30L001M,02-18-1969,195.4,194,122.7,72.7,121.3,,,5621,
15S18E30L001M,02-11-1970,195.4,194,112.7,82.7,111.3,,,5621,
15S18E30L001M,09-28-1970,195.4,194,130.6,64.8,129.2,,,5621,
15S18E30L001M,02-10-1971,195.4,194,124.9,70.5,123.5,,,5621,
15S18E30L001M,10-04-1971,195.4,194,134.4,61,133,,,5620,
15S18E30L001M,02-03-1972,195.4,194,141.6,53.8,140.2,,,5620,
15S18E30L001M,10-04-1972,195.4,194,148.3,47.1,146.9,,,5620,
15S18E30L001M,02-08-1973,195.4,194,133,62.4,131.6,,,5620,
15S18E30L001M,10-05-1973,195.4,194,146.4,49,145,,,5620,
15S18E30L001M,02-07-1974,195.4,194,146.3,49.1,144.9,,,5620,
15S18E30L001M,10-02-1974,195.4,194,148.8,46.6,147.4,,,5620,
15S18E30L001M,01-15-1975,195.4,194,140,55.4,138.6,,,5620,
15S18E30L001M,10-02-1975,195.4,194,164.4,31,163,,,5620,
15S18E30L001M,12-31-1975,195.4,194,149.9,45.5,148.5,,,5620,
15S18E30L001M,10-05-1976,195.4,194,149.6,45.8,148.2,,,5620,
15S18E30L001M,01-06-1977,195.4,194,147,48.4,145.6,,,5620,
15S18E30L001M,06-03-1977,195.4,194,193,2.4,191.6,,,5620,
15S18E30L001M,08-08-1977,195.4,194,190.8,4.6,189.4,,,5620,
15S18E30L001M,10-21-1977,195.4,194,160.9,34.5,159.5,,,5620,
15S18E30L001M,01-24-1978,195.4,194,153,42.4,151.6,,,5620,
15S18E30L001M,09-28-1978,195.4,194,157.9,37.5,156.5,,,5620,
15S18E30L001M,01-22-1979,195.4,194,148.3,47.1,146.9,,,5620,
15S18E30L001M,10-02-1979,195.4,194,159.4,36,158,,,5620,
15S18E30L001M,01-21-1980,195.4,194,150.3,45.1,148.9,,,5620,
15S18E30L001M,09-24-1980,195.4,194,158.2,37.2,156.8,,,5620,
15S18E30L001M,01-31-1981,195.4,194,152.5,42.9,151.1,,,5620,
15S18E30L001M,09-24-1981,195.4,194,183.6,11.8,182.2,,,5001,
15S18E30L001M,01-27-1982,195.4,194,164.1,31.3,162.7,,,5001,
15S18E30L001M,09-28-1982,195.4,194,165,30.4,163.6,,,5620,
15S18E30L001M,01-26-1983,195.4,194,153.5,41.9,152.1,,,5620,
15S18E30L001M,10-06-1983,195.4,194,160.1,35.3,158.7,,,5001,
15S18E30L001M,01-30-1984,195.4,194,155.1,40.3,153.7,,,5001,
15S18E30L001M,10-05-1984,195.4,194,158.5,36.9,157.1,,,5001,
15S18E30L001M,02-04-1985,195.4,194,151,44.4,149.6,,,5001,
15S18E30L001M,09-30-1985,195.4,194,163,32.4,161.6,,,5001,
15S18E30L001M,01-30-1986,195.4,194,158.9,36.5,157.5,,,5001,
15S18E30L001M,10-02-1986,195.4,194,157.3,38.1,155.9,,,5001,
15S18E30L001M,01-30-1987,195.4,194,145.9,49.5,144.5,,,5620,
15S18E30L001M,10-08-1987,195.4,194,161.3,34.1,159.9,,,5620,
15S18E30L001M,02-04-1988,195.4,194,150.8,44.6,149.4,,,5620,
15S18E30L001M,10-14-1988,195.4,194,169.4,26,168,,,5620,
15S18E30L001M,01-27-1989,195.4,194,162.3,33.1,160.9,,,5620,
15S18E30L001M,10-02-1989,195.4,194,167.4,28,166,,,5620,
15S18E30L001M,01-22-1990,195.4,194,158.5,36.9,157.1,,,5620,
15S18E30L001M,10-02-1990,195.4,194,181.3,14.1,179.9,,,5620,
15S18E30L001M,01-28-1991,195.4,194,181.5,13.9,180.1,,,5620,
15S18E30L001M,10-02-1991,195.4,194,190.4,5,189,,,5620,
15S18E30L001M,01-27-1992,195.4,194,176.7,18.7,175.3,,,5620,
15S18E30L001M,10-05-1992,195.4,194,192.6,2.8,191.2,,,5620,
15S18E30L001M,01-26-1993,195.4,194,187.1,8.3,185.7,,,5620,
15S18E30L001M,10-04-1993,195.4,194,195.9,-0.5,194.5,,,5620,
15S18E30L001M,01-26-1994,195.4,194,193,2.4,191.6,,,5620,
15S18E30L001M,10-05-1994,195.4,194,202.4,-7,201,,,5620,
15S18E30L001M,01-26-1995,195.4,194,190.5,4.9,189.1,,,5620,
15S18E30L001M,10-02-1995,195.4,194,197.5,-2.1,196.1,,,5620,
15S18E30L001M,01-15-1996,195.4,194,185.3,10.1,183.9,,,5620,
15S18E30L001M,11-05-1996,195.4,194,191.6,3.8,190.2,,,5620,
15S18E30L001M,01-14-1997,195.4,194,184.8,10.6,183.4,,,5620,
15S18E30L001M,10-07-1997,195.4,194,219.1,-23.7,217.7,,,5620,
15S18E30L001M,01-21-1998,195.4,194,186.7,8.7,185.3,,,5620,
15S18E30L001M,10-05-1998,196.5,195,189.7,6.8,188.2,,,5620,
15S18E30L001M,01-27-1999,196.5,195,175.9,20.6,174.4,,,5620,
15S18E30L001M,10-05-1999,196.5,195,188.2,8.3,186.7,,,5620,
15S18E30L001M,01-28-2000,196.5,195,190.9,5.6,189.4,,,5620,
15S18E30L001M,10-02-2002,196.5,195,203.1,-6.6,201.6,,,5001,
15S18E30L001M,01-23-2003,196.5,195,189.4,7.1,187.9,,,5620,
15S18E30L001M,09-23-2003,196.5,195,216.5,-20,215,,,5620,RSJAMES
15S18E30L001M,02-08-2004,196.5,195,193.5,3,192,,,5620,
15S18E30L001M,02-10-2005,196.5,195,200.9,-4.4,199.4,,,5620,RSJAMES
15S18E30L001M,03-17-2006,196.5,195,,,,,7,5620,
15S18E30L001M,11-22-2006,196.5,195,200.2,-3.7,198.7,,,5620,
15S18E30L001M,02-01-2007,196.5,195,195.8,0.7,194.3,,,5620,
15S18E30L001M,10-19-2007,196.5,195,,,,,D,5620,DRY
15S18E30L001M,03-06-2008,196.5,195,220.5,-24,219,,,5620,
15S18E30L001M,02-21-2009,196.5,195,221.8,-25.3,220.3,,,5620,
15S18E30L001M,01-25-2010,196.5,195,,,,,D,5620,
15S18E30L001M,10-07-2010,196.5,195,222.2,-25.7,220.7,,,5620,
,,,,,,,,,,
Well Coordinate Information,,,,,,,,,,
Projection,Datum,Easting,Northing,Units,Zone,,,,,
UTM,NAD27,763727,4053945,metres,10,,,,,
LL,NAD27,120.0519,36.5964,decimal degrees,,,,,,
LL,NAD83,120.0529,36.5963,decimal degrees,,,,,,
Well Use:Undetermined ,,,,,,,,,,
